school,unit,title,programs,published_at,deadline,status,portfolio,cross_major,confidence,source_url,first_seen_at,last_checked_at,notes
清华大学,美术学院,清华大学美术学院2027年接收外校优秀应届本科毕业生推荐免试攻读研究生相关要求,"140300设计学；135700设计；1403J1信息艺术设计交叉学科；135600美术与书法",2026-07-02,2026-07-28 15:00,已截止,"作品集约20幅，A4，100M以内；信息艺术设计非艺术背景可不交作品集并提交说明",是,"官网已核验",https://www.ad.tsinghua.edu.cn/__local/C/64/63/04E2EC726830D5C80FE85AD768F_8CA56269_1A263.pdf,2026-08-02 02:36,2026-08-02 02:36,"信息艺术设计交叉学科非艺术设计背景排名可放宽至前15%"
清华大学,深圳国际研究生院,清华大学深圳国际研究生院2027年接收推荐免试研究生报名通知,"互动媒体设计与技术；互联网+创新设计；未来人居设计；未来人居项目",2026-06-30,2026-07-28 15:00,已截止,"以学院通知为准",是,"官网已核验",https://www.sigs.tsinghua.edu.cn/2026/0630/c7769a291820/page.htm,2026-08-02 02:36,2026-08-02 02:36,"与信息艺术交互、未来人居高度相关"
同济大学,设计创意学院,同济大学设计创意学院2027年接收推荐免试研究生预报名通知,"人工智能与数据设计；交互设计；工业设计；环境设计；媒体与传达设计；产品服务体系设计；设计战略与管理",2026-07-11,2026-08-17 12:00,报名中,"中英文作品集，PDF不超过20页、20M",是,"官网已核验",https://tjdi.tongji.edu.cn/NewsDetail.do?ID=6008,2026-08-02 02:36,2026-08-02 02:36,"预计9月组织考核"
同济大学,建筑与城市规划学院,同济大学建筑与城市规划学院2027年接收推荐免试研究生预报名通知,"建筑学；城乡规划；风景园林及相关方向",2026-07-06,2026-08-14 17:00,报名中,"以学院通知为准",是,"官网汇总已核验",https://caup.tongji.edu.cn/c9/ad/c33339a379309/page.htm,2026-08-02 02:36,2026-08-02 02:36,"截止时间来自同济研究生院官方汇总"
同济大学,艺术与传媒学院,同济大学艺术与传媒学院2027年接收推荐免试研究生预报名通知,"设计、艺术、数字媒介与传播相关方向",2026-07-06,2026-09-11 12:00,报名中,"以学院通知为准",是,"官网汇总已核验",https://am.tongji.edu.cn/info/1482/6023.htm,2026-08-02 02:36,2026-08-02 02:36,"截止时间来自同济研究生院官方汇总"
东南大学,艺术学院,东南大学艺术学院2027年接收推荐免试研究生报名通知,"设计学（交叉学科）；设计（专业学位）；美术与书法",2026-07-10,2026-08-18 12:00,报名中,"设计/美术专硕作品集：含封面不超过30页，PDF不超过30M",是,"官网已核验",https://arts.seu.edu.cn/2026/0710/c17236a576463/page.htm,2026-08-02 02:36,2026-08-02 02:36,"英语原则要求CET-6≥426或CET-4≥497等"
天津大学,建筑学院,天津大学建筑学院2027年接收优秀应届本科毕业生免试攻读研究生预报名说明,"135700设计（环境艺术设计、视觉艺术）；建筑学；城乡规划；风景园林",2026-07-10,2026-09-09 23:59,报名中,"申请材料合并为一个PDF，不超过15M",是,"官网已核验",https://arch.tju.edu.cn/info/1218/7491.htm,2026-08-02 02:36,2026-08-02 02:36,"普通推免建议9月9日前完成；青年导师专项8月10日截止"
厦门大学,创意与创新学院,厦门大学创意与创新学院关于2027年接收推荐免试研究生预报名的通知,"健康创新设计；社会创新设计；文化创新设计；智慧创新设计",2026-07-12,2026-08-31 23:59,报名中,"3-5个项目，至少2个独立完成，中英双语，含封面不超过30页，材料PDF不超过15M",是,"官网已核验",https://ici.xmu.edu.cn/info/1331/12195.htm,2026-08-02 02:36,2026-08-02 02:36,"接受设计、艺术、人文社科、工程、计算机等背景"
厦门大学,艺术学院,厦门大学艺术学院2027年接收推荐免试研究生预报名通知,"艺术设计及相关方向",2026-07-16,,截止时间待核验,"以学院通知为准",是,"官网通知已发现，字段待提取",https://art.xmu.edu.cn/info/1070/11198.htm,2026-08-02 02:36,2026-08-02 02:36,"需人工核验截止时间与具体专业"
华东师范大学,设计学院,华东师范大学设计学院2027年接收推荐免试研究生预报名通知,"设计学/设计专业及相关方向",2026-07-24,2026-08-30 16:00,报名中,"设计背景通常需提交作品集",是,"官网通知已发现；截止时间待二次核验",https://www.design.ecnu.edu.cn/blog/6400.html,2026-08-02 02:36,2026-08-02 02:36,"截止时间由公开检索提取，建议打开官网复核"
重庆大学,建筑城规学院,重庆大学建筑城规学院2027年接收推荐免试研究生预报名通知,"建筑学；城乡规划；风景园林",2026-06-24,2026-09-02 18:00,报名中,"以学院通知为准",是,"官网通知已发现；截止时间待二次核验",https://chongjian.cqu.edu.cn/info/1342/7485.htm,2026-08-02 02:36,2026-08-02 02:36,"截止时间由公开检索提取，建议打开官网复核"
东南大学,建筑学院,东南大学建筑学院2027年接收推荐免试研究生预报名通知,"建筑学；城乡规划；风景园林及相关方向",2026-07-08,2026-07-31 12:00,已截止,"以学院通知为准",是,"官网汇总已核验",https://arch.seu.edu.cn/2026/0708/c9126a575976/page.htm,2026-08-02 02:36,2026-08-02 02:36,"报名时间由东南大学研究生院官方汇总核验"
华东师范大学,传播学院,推免生预报名公告｜华东师范大学传播学院2027年招收推荐免试攻读研究生,"新闻与传播（智能游戏交互方向）；戏剧与影视；数字媒介交互相关",2026-07-24,2026-09-01 16:00,报名中,"无强制作品集字段；其他学术能力材料合并PDF",是,"官网已核验",https://comm.ecnu.edu.cn/c3/c7/c41511a771015/page.htm,2026-08-02 02:36,2026-08-02 02:36,"非设计学学位，但智能游戏交互方向明确欢迎数字媒体艺术、工业设计、计算机、心理等背景"
